"","subid","list","game.order","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","date","timestamp","rt","age","agegroup","gender","english"
"1","111015_1",1,2,35,"lamp_implic","lamp_control","lamp_implic","implicature","implicature","distractor","target","L","lamp_control","N","11/10/2015","13:10",1385,4.97,4,"F",100
"2","111015_1",1,2,34,"banana_inhib","banana_inhib","banana_pos","inhibition","inhib","target","distractor","L","banana_inhib","Y","11/10/2015","13:10",1721,4.97,4,"F",100
"3","111015_1",1,2,33,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y","11/10/2015","13:10",1511,4.97,4,"F",100
"4","111015_1",1,2,34,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N","11/10/2015","13:10",1220,4.97,4,"F",100
"5","111015_1",1,2,33,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y","11/10/2015","13:10",969,4.97,4,"F",100
"6","111015_1",1,2,64,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y","11/10/2015","13:10",1296,4.97,4,"F",100
"7","111015_1",1,2,14,"bicycle_neg","bicycle_neg","bicycle_pos","negation","negative","target","distractor","L","bicycle_neg","Y","11/10/2015","13:10",851.000000000001,4.97,4,"F",100
"8","111015_1",1,2,72,"bird_inhib","bird_inhib","bird_pos","inhibition","inhib","target","distractor","L","bird_inhib","Y","11/10/2015","13:10",1848,4.97,4,"F",100
"9","111015_1",1,2,32,"cup_control","cup_control","cup_foil","implicature","unambiguous","target","distractor","L","cup_control","Y","11/10/2015","13:10",1783,4.97,4,"F",100
"10","111015_1",1,2,74,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y","11/10/2015","13:10",2003,4.97,4,"F",100
"11","111015_1",1,2,36,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y","11/10/2015","13:10",1185,4.97,4,"F",100
"12","111015_1",1,2,15,"cookie_pos","cookie_neg","cookie_pos","negation","positive","distractor","target","R","cookie_pos","Y","11/10/2015","13:10",1628,4.97,4,"F",100
"13","111015_1",1,2,32,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y","11/10/2015","13:10",1593,4.97,4,"F",100
"14","111015_1",1,2,30,"teddybear_control","teddybear_foil","teddybear_control","implicature","unambiguous","distractor","target","R","teddybear_control","Y","11/10/2015","13:10",2812,4.97,4,"F",100
"15","111015_1",1,2,66,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y","11/10/2015","13:10",1790,4.97,4,"F",100
"16","111015_1",1,2,37,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","L","cookie_implic","Y","11/10/2015","13:10",944,4.97,4,"F",100
"17","111015_1",1,2,69,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y","11/10/2015","13:10",735,4.97,4,"F",100
"18","111015_1",1,2,8,"bicycle_implic","bicycle_implic","bicycle_control","implicature","implicature","target","distractor","L","bicycle_implic","Y","11/10/2015","13:10",1328,4.97,4,"F",100
"19","111015_1",1,2,70,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y","11/10/2015","13:10",1394,4.97,4,"F",100
"20","111015_1",1,2,63,"lamp_pos","lamp_inhib","lamp_pos","inhibition","control","distractor","target","L","lamp_inhib","N","11/10/2015","13:10",1003,4.97,4,"F",100
"21","111015_1",1,2,68,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y","11/10/2015","13:10",774,4.97,4,"F",100
