X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,gender,age,language,response_numeric,log_rt,m_log_rt,sd_log_rt,reason_removed
29,1,1,5,116,flower_implic,flower_control,flower_implic,implicature,implicature,distractor,target,R,flower_implic,Y,2/19/2019,10:43:00,4.318,M,65,English,1,1.4627923320926155,-0.30343137515179,0.375638819900667,bad_rt
504,2,1,2,39,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,2/19/2019,16:30:00,3.282,M,35,English,0,1.188452992667899,-0.30343137515179,0.375638819900667,bad_rt
563,2,1,2,131,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,L,apple_pos,Y,2/19/2019,16:30:00,5,M,35,English,1,1.6094379124341003,-0.30343137515179,0.375638819900667,bad_rt
627,2,1,2,42,cup_neg,cup_neg,cup_pos,negation,negative,target,distractor,L,cup_neg,Y,2/19/2019,16:30:00,2.544,M,35,English,1,0.9337376454778757,-0.30343137515179,0.375638819900667,bad_rt
628,2,1,2,43,bicycle_pos,bicycle_pos,bicycle_neg,negation,positive,target,distractor,R,bicycle_neg,N,2/19/2019,16:30:00,2.55,M,35,English,0,0.9360933591703348,-0.30343137515179,0.375638819900667,bad_rt
641,2,1,2,56,lamp_neg,lamp_neg,lamp_pos,negation,negative,target,distractor,R,lamp_pos,N,2/19/2019,16:30:00,0.212999999999997,M,35,English,0,-1.546463113272726,-0.30343137515179,0.375638819900667,bad_rt
642,2,1,2,57,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,R,bicycle_pos,N,2/19/2019,16:30:00,0.23200000000000098,M,35,English,0,-1.461017907315823,-0.30343137515179,0.375638819900667,bad_rt
649,2,1,2,64,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,R,bicycle_pos,N,2/19/2019,16:30:00,0.221000000000001,M,35,English,0,-1.5095925774643797,-0.30343137515179,0.375638819900667,bad_rt
668,2,1,2,82,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,2/19/2019,16:30:00,6.392,M,35,English,1,1.8550472084639735,-0.30343137515179,0.375638819900667,bad_rt
724,2,1,2,18,apple_pos,apple_neg,apple_pos,negation,positive,distractor,target,R,apple_pos,Y,2/19/2019,16:30:00,2.81,M,35,English,1,1.0331844833456545,-0.30343137515179,0.375638819900667,bad_rt
726,2,1,2,20,cup_neg,cup_pos,cup_neg,negation,negative,distractor,target,R,cup_neg,Y,2/19/2019,16:30:00,2.339,M,35,English,1,0.849723487602042,-0.30343137515179,0.375638819900667,bad_rt
729,2,1,2,23,banana_pos,banana_pos,banana_neg,negation,positive,target,distractor,L,banana_pos,Y,2/19/2019,16:30:00,2.425,M,35,English,1,0.8858315243894465,-0.30343137515179,0.375638819900667,bad_rt
734,2,1,2,28,bird_pos,bird_pos,bird_neg,negation,positive,target,distractor,L,bird_pos,Y,2/19/2019,16:30:00,0.202,M,35,English,1,-1.5994875815809322,-0.30343137515179,0.375638819900667,bad_rt
735,2,1,2,29,teddybear_pos,teddybear_neg,teddybear_pos,negation,positive,distractor,target,R,teddybear_pos,Y,2/19/2019,16:30:00,0.233,M,35,English,1,-1.4567168254164364,-0.30343137515179,0.375638819900667,bad_rt
756,2,1,2,90,cat_neg,cat_pos,cat_neg,negation,negative,distractor,target,R,cat_neg,Y,2/19/2019,16:30:00,2.606,M,35,English,1,0.9578164787026533,-0.30343137515179,0.375638819900667,bad_rt
772,2,1,2,66,lamp_neg,lamp_pos,lamp_neg,negation,negative,distractor,target,L,lamp_pos,N,2/19/2019,16:30:00,0.22199999999999698,M,35,English,0,-1.5050778971098713,-0.30343137515179,0.375638819900667,bad_rt
775,2,1,2,69,bird_neg,bird_pos,bird_neg,negation,negative,distractor,target,L,bird_pos,N,2/19/2019,16:30:00,0.224,M,35,English,0,-1.4961092271270973,-0.30343137515179,0.375638819900667,bad_rt
818,3,1,4,34,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,2/16/2019,02:22:00,6.621,M,45,english,1,1.890246415942709,-0.30343137515179,0.375638819900667,bad_rt
1012,3,1,4,30,cookie_neg,cookie_neg,cookie_pos,negation,negative,target,distractor,L,cookie_neg,Y,2/16/2019,02:22:00,2.354,M,45,english,1,0.856116008838085,-0.30343137515179,0.375638819900667,bad_rt
1015,3,1,4,69,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,R,bird_inhib,N,2/16/2019,02:22:00,6.95,M,45,english,0,1.9387416595767009,-0.30343137515179,0.375638819900667,bad_rt
1226,4,2,3,91,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,R,flower_control,N,2/19/2019,12:52:00,5.529,M,25,English,0,1.7100069673557958,-0.30343137515179,0.375638819900667,bad_rt
1259,4,2,3,35,banana_pos,banana_pos,banana_neg,negation,positive,target,distractor,L,banana_pos,Y,2/19/2019,12:52:00,7.532,M,25,English,1,2.019160610794906,-0.30343137515179,0.375638819900667,bad_rt
1264,4,2,3,39,dog_pos,dog_neg,dog_pos,negation,positive,distractor,target,R,dog_pos,Y,2/19/2019,12:52:00,8.392,M,25,English,1,2.127278871093996,-0.30343137515179,0.375638819900667,bad_rt
1283,4,2,3,59,cat_neg,cat_pos,cat_neg,negation,negative,distractor,target,R,cat_neg,Y,2/19/2019,12:52:00,6.096,M,25,English,1,1.807632818384345,-0.30343137515179,0.375638819900667,bad_rt
1315,4,2,3,91,cat_pos,cat_pos,cat_neg,negation,positive,target,distractor,L,cat_pos,Y,2/19/2019,12:52:00,3.852,M,25,English,1,1.348592493935879,-0.30343137515179,0.375638819900667,bad_rt
1316,4,2,3,92,car_neg,car_pos,car_neg,negation,negative,distractor,target,R,car_neg,Y,2/19/2019,12:52:00,4.696,M,25,English,1,1.5467110825257953,-0.30343137515179,0.375638819900667,bad_rt
1317,4,2,3,93,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,L,bicycle_neg,Y,2/19/2019,12:52:00,5.182,M,25,English,1,1.6451910821399183,-0.30343137515179,0.375638819900667,bad_rt
1318,4,2,3,94,apple_neg,apple_neg,apple_pos,negation,negative,target,distractor,L,apple_neg,Y,2/19/2019,12:52:00,3.681,M,25,English,1,1.303184454396884,-0.30343137515179,0.375638819900667,bad_rt
1326,4,2,3,102,banana_neg,banana_pos,banana_neg,negation,negative,distractor,target,R,banana_neg,Y,2/19/2019,12:52:00,2.617,M,25,English,1,0.9620286235480088,-0.30343137515179,0.375638819900667,bad_rt
1359,4,2,3,15,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,2/19/2019,12:52:00,6.267,M,25,English,1,1.8352977712425385,-0.30343137515179,0.375638819900667,bad_rt
1395,4,2,3,51,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,2/19/2019,12:52:00,9.869,M,25,English,1,2.28939853118987,-0.30343137515179,0.375638819900667,bad_rt
1461,4,2,3,117,teddybear_pos,teddybear_pos,teddybear_inhib,inhibition,control,target,distractor,L,teddybear_pos,Y,2/19/2019,12:52:00,4.281,M,25,English,1,1.454186627162809,-0.30343137515179,0.375638819900667,bad_rt
