X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,response_numeric,log_rt,m_log_rt,sd_log_rt
1,1,2,4,1,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,1.315,1,0.27383666562972786,-0.23752603141136527,0.3746167648693195
2,1,2,4,2,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,1.429,1,0.3569748989477304,-0.23752603141136527,0.3746167648693195
3,1,2,4,3,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.915,1,-0.0888312137066157,-0.23752603141136527,0.3746167648693195
4,1,2,4,4,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,R,teddybear_control,Y,7/23/2015,12:17:00,0.964,1,-0.03666398437159147,-0.23752603141136527,0.3746167648693195
5,1,2,4,5,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.724,1,-0.3229638865964207,-0.23752603141136527,0.3746167648693195
6,1,2,4,6,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.692,1,-0.36816932336446756,-0.23752603141136527,0.3746167648693195
7,1,2,4,7,dog_control,dog_control,dog_foil,implicature,unambiguous,target,distractor,L,dog_control,Y,7/23/2015,12:17:00,0.812,1,-0.20825493882045903,-0.23752603141136527,0.3746167648693195
8,1,2,4,8,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.685,1,-0.3783364407199117,-0.23752603141136527,0.3746167648693195
9,1,2,4,9,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.827,1,-0.1899505839584458,-0.23752603141136527,0.3746167648693195
10,1,2,4,10,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.817,1,-0.20211618412213422,-0.23752603141136527,0.3746167648693195
11,1,2,4,11,car_control,car_foil,car_control,implicature,unambiguous,distractor,target,R,car_control,Y,7/23/2015,12:17:00,0.731,1,-0.3133418192323586,-0.23752603141136527,0.3746167648693195
12,1,2,4,12,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,7/23/2015,12:17:00,0.767,1,-0.26526847761488087,-0.23752603141136527,0.3746167648693195
13,1,2,4,13,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.662,1,-0.41248972304512876,-0.23752603141136527,0.3746167648693195
14,1,2,4,14,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.684,0,-0.3797973613595865,-0.23752603141136527,0.3746167648693195
15,1,2,4,15,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.625,1,-0.4700036292457356,-0.23752603141136527,0.3746167648693195
16,1,2,4,16,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,R,teddybear_control,Y,7/23/2015,12:17:00,0.665,1,-0.4079682383262829,-0.23752603141136527,0.3746167648693195
17,1,2,4,17,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,7/23/2015,12:17:00,0.686,1,-0.3768776512562517,-0.23752603141136527,0.3746167648693195
18,1,2,4,18,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.863,1,-0.14734058789870913,-0.23752603141136527,0.3746167648693195
19,1,2,4,19,cat_implic,cat_implic,cat_control,implicature,implicature,target,distractor,L,cat_implic,Y,7/23/2015,12:17:00,0.629,1,-0.4636240222816965,-0.23752603141136527,0.3746167648693195
20,1,2,4,20,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.642,1,-0.44316697529217586,-0.23752603141136527,0.3746167648693195
21,1,2,4,21,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.653,1,-0.42617814970570594,-0.23752603141136527,0.3746167648693195
22,1,2,4,22,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,0.626,0,-0.46840490788203853,-0.23752603141136527,0.3746167648693195
23,1,2,4,23,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,7/23/2015,12:17:00,0.585,1,-0.5361434317502807,-0.23752603141136527,0.3746167648693195
24,1,2,4,24,cookie_control,cookie_control,cookie_foil,implicature,unambiguous,target,distractor,L,cookie_control,Y,7/23/2015,12:17:00,0.609,1,-0.49593701127224005,-0.23752603141136527,0.3746167648693195
25,1,2,4,25,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,7/23/2015,12:17:00,0.592,1,-0.5242486440981314,-0.23752603141136527,0.3746167648693195
26,1,2,4,26,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.666,1,-0.40646560844174784,-0.23752603141136527,0.3746167648693195
27,1,2,4,27,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.625,1,-0.4700036292457356,-0.23752603141136527,0.3746167648693195
28,1,2,4,28,car_implic,car_implic,car_control,implicature,implicature,target,distractor,R,car_control,N,7/23/2015,12:17:00,0.611,0,-0.49265831981054176,-0.23752603141136527,0.3746167648693195
29,1,2,4,29,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.624,1,-0.47160491061270937,-0.23752603141136527,0.3746167648693195
30,1,2,4,30,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.719,1,-0.3298939212610904,-0.23752603141136527,0.3746167648693195
31,1,2,4,31,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,R,teddybear_implic,Y,7/23/2015,12:17:00,1.087,1,0.08342160813907236,-0.23752603141136527,0.3746167648693195
32,1,2,4,32,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.706,1,-0.34814004148889505,-0.23752603141136527,0.3746167648693195
33,1,2,4,33,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.675,0,-0.3930425881096072,-0.23752603141136527,0.3746167648693195
34,1,2,4,34,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.587,1,-0.5327304591540407,-0.23752603141136527,0.3746167648693195
35,1,2,4,35,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,0.688,0,-0.37396644104879345,-0.23752603141136527,0.3746167648693195
36,1,2,4,36,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.625,1,-0.4700036292457356,-0.23752603141136527,0.3746167648693195
37,1,2,4,37,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.568,0,-0.5656338602609858,-0.23752603141136527,0.3746167648693195
38,1,2,4,38,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.583,1,-0.5395680926316447,-0.23752603141136527,0.3746167648693195
39,1,2,4,39,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.64,1,-0.4462871026284195,-0.23752603141136527,0.3746167648693195
40,1,2,4,40,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.673,1,-0.3960099493374092,-0.23752603141136527,0.3746167648693195
41,1,2,4,41,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.631,1,-0.4604494164409239,-0.23752603141136527,0.3746167648693195
42,1,2,4,42,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.633,1,-0.45728485683796083,-0.23752603141136527,0.3746167648693195
43,1,2,4,43,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.595,1,-0.5191938734365074,-0.23752603141136527,0.3746167648693195
44,1,2,4,44,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.588,0,-0.5310283310835102,-0.23752603141136527,0.3746167648693195
45,1,2,4,45,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,L,bird_foil,N,7/23/2015,12:17:00,0.591,0,-0.5259392615760389,-0.23752603141136527,0.3746167648693195
46,1,2,4,46,flower_control,flower_foil,flower_control,implicature,unambiguous,distractor,target,R,flower_control,Y,7/23/2015,12:17:00,0.967,1,-0.033556783528842754,-0.23752603141136527,0.3746167648693195
47,1,2,4,47,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,R,dog_control,N,7/23/2015,12:17:00,0.781,0,-0.24718012914245105,-0.23752603141136527,0.3746167648693195
48,1,2,4,48,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.751,1,-0.28634962721800233,-0.23752603141136527,0.3746167648693195
49,1,2,4,49,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.722,1,-0.32573014008931084,-0.23752603141136527,0.3746167648693195
50,1,2,4,50,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.765,1,-0.2678794451556012,-0.23752603141136527,0.3746167648693195
51,1,2,4,51,car_control,car_foil,car_control,implicature,unambiguous,distractor,target,R,car_control,Y,7/23/2015,12:17:00,0.681,1,-0.3841929728326246,-0.23752603141136527,0.3746167648693195
52,1,2,4,52,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.736,1,-0.3065251602532608,-0.23752603141136527,0.3746167648693195
53,1,2,4,53,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.786,0,-0.24079848655293046,-0.23752603141136527,0.3746167648693195
54,1,2,4,54,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.804,0,-0.21815600980317063,-0.23752603141136527,0.3746167648693195
55,1,2,4,55,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.649,0,-0.43232256227804705,-0.23752603141136527,0.3746167648693195
56,1,2,4,56,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.698,1,-0.35953617621976464,-0.23752603141136527,0.3746167648693195
57,1,2,4,57,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.885,0,-0.12216763397420753,-0.23752603141136527,0.3746167648693195
58,1,2,4,58,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.598,1,-0.5141645250315053,-0.23752603141136527,0.3746167648693195
59,1,2,4,59,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.728,1,-0.3174542307854511,-0.23752603141136527,0.3746167648693195
60,1,2,4,60,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.704,1,-0.3509769228240947,-0.23752603141136527,0.3746167648693195
