X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,age,agegroup,gender,english,response_numeric,log_rt,m_log_rt,sd_log_rt
1,111015_1,1,2,35,lamp_implic,lamp_control,lamp_implic,implicature,implicature,distractor,target,L,lamp_control,N,11/10/2015,13:10:00,1.385,4.97,4,F,100,0,0.32570013963930183,0.34839901594443556,0.5220063149724423
2,111015_1,1,2,34,banana_inhib,banana_inhib,banana_pos,inhibition,inhib,target,distractor,L,banana_inhib,Y,11/10/2015,13:10:00,1.721,4.97,4,F,100,1,0.5429055172294024,0.34839901594443556,0.5220063149724423
3,111015_1,1,2,33,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,11/10/2015,13:10:00,1.511,4.97,4,F,100,1,0.41277168329060243,0.34839901594443556,0.5220063149724423
4,111015_1,1,2,34,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,R,cookie_control,N,11/10/2015,13:10:00,1.22,4.97,4,F,100,0,0.19885085874516517,0.34839901594443556,0.5220063149724423
5,111015_1,1,2,33,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,11/10/2015,13:10:00,0.969,4.97,4,F,100,1,-0.03149066709137085,0.34839901594443556,0.5220063149724423
6,111015_1,1,2,64,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,11/10/2015,13:10:00,1.296,4.97,4,F,100,1,0.25928259793008296,0.34839901594443556,0.5220063149724423
7,111015_1,1,2,14,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,L,bicycle_neg,Y,11/10/2015,13:10:00,0.851000000000001,4.97,4,F,100,1,-0.16134315040876177,0.34839901594443556,0.5220063149724423
8,111015_1,1,2,72,bird_inhib,bird_inhib,bird_pos,inhibition,inhib,target,distractor,L,bird_inhib,Y,11/10/2015,13:10:00,1.848,4.97,4,F,100,1,0.6141039732194925,0.34839901594443556,0.5220063149724423
9,111015_1,1,2,32,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,11/10/2015,13:10:00,1.783,4.97,4,F,100,1,0.5782973388810033,0.34839901594443556,0.5220063149724423
10,111015_1,1,2,74,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,R,cup_pos,Y,11/10/2015,13:10:00,2.003,4.97,4,F,100,1,0.6946460566836813,0.34839901594443556,0.5220063149724423
11,111015_1,1,2,36,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,11/10/2015,13:10:00,1.185,4.97,4,F,100,1,0.16974277458709455,0.34839901594443556,0.5220063149724423
12,111015_1,1,2,15,cookie_pos,cookie_neg,cookie_pos,negation,positive,distractor,target,R,cookie_pos,Y,11/10/2015,13:10:00,1.628,4.97,4,F,100,1,0.4873522675803485,0.34839901594443556,0.5220063149724423
13,111015_1,1,2,32,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,11/10/2015,13:10:00,1.593,4.97,4,F,100,1,0.46561903092791146,0.34839901594443556,0.5220063149724423
14,111015_1,1,2,30,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,R,teddybear_control,Y,11/10/2015,13:10:00,2.812,4.97,4,F,100,1,1.0338959739484184,0.34839901594443556,0.5220063149724423
15,111015_1,1,2,66,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,1.79,4.97,4,F,100,1,0.5822156198526637,0.34839901594443556,0.5220063149724423
16,111015_1,1,2,37,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,11/10/2015,13:10:00,0.944,4.97,4,F,100,1,-0.057629112836636416,0.34839901594443556,0.5220063149724423
17,111015_1,1,2,69,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,0.735,4.97,4,F,100,1,-0.3078847797693004,0.34839901594443556,0.5220063149724423
18,111015_1,1,2,8,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,11/10/2015,13:10:00,1.328,4.97,4,F,100,1,0.28367405105424215,0.34839901594443556,0.5220063149724423
19,111015_1,1,2,70,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,1.394,4.97,4,F,100,1,0.3321773123383321,0.34839901594443556,0.5220063149724423
20,111015_1,1,2,63,lamp_pos,lamp_inhib,lamp_pos,inhibition,control,distractor,target,L,lamp_inhib,N,11/10/2015,13:10:00,1.003,4.97,4,F,100,0,0.002995508979798371,0.34839901594443556,0.5220063149724423
21,111015_1,1,2,68,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,0.774,4.97,4,F,100,1,-0.2561834053924099,0.34839901594443556,0.5220063149724423
23,111015_1,1,2,4,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,11/10/2015,13:10:00,1.573,4.97,4,F,100,1,0.45298462407614076,0.34839901594443556,0.5220063149724423
24,111015_1,1,2,73,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,R,cup_pos,Y,11/10/2015,13:10:00,1.322,4.97,4,F,100,1,0.2791457414294946,0.34839901594443556,0.5220063149724423
26,111015_1,1,2,7,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,11/10/2015,13:10:00,1.44,4.97,4,F,100,1,0.36464311358790924,0.34839901594443556,0.5220063149724423
27,111015_1,1,2,65,lamp_inhib,lamp_pos,lamp_inhib,inhibition,inhib,distractor,target,R,lamp_inhib,Y,11/10/2015,13:10:00,1.232,4.97,4,F,100,1,0.208638865111328,0.34839901594443556,0.5220063149724423
29,111015_1,1,2,31,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,R,bicycle_implic,Y,11/10/2015,13:10:00,2.123,4.97,4,F,100,1,0.7528301827211191,0.34839901594443556,0.5220063149724423
30,111015_1,1,2,71,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,L,bird_inhib,N,11/10/2015,13:10:00,3.482,4.97,4,F,100,0,1.2476068413459973,0.34839901594443556,0.5220063149724423
31,111015_1,1,2,76,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,11/10/2015,13:10:00,2.23,4.97,4,F,100,1,0.8020015854720274,0.34839901594443556,0.5220063149724423
32,111015_1,1,2,9,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,11/10/2015,13:10:00,1.278,4.97,4,F,100,1,0.24529635595534308,0.34839901594443556,0.5220063149724423
33,111015_1,1,2,5,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,R,apple_inhib,N,11/10/2015,13:10:00,1.875,4.97,4,F,100,0,0.6286086594223741,0.34839901594443556,0.5220063149724423
34,111015_1,1,2,31,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,11/10/2015,13:10:00,1.6,4.97,4,F,100,1,0.47000362924573563,0.34839901594443556,0.5220063149724423
35,111015_1,1,2,3,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,R,apple_implic,Y,11/10/2015,13:10:00,1.888,4.97,4,F,100,1,0.6355180677233089,0.34839901594443556,0.5220063149724423
36,111015_1,1,2,12,banana_pos,banana_neg,banana_pos,negation,positive,distractor,target,R,banana_pos,Y,11/10/2015,13:10:00,1.228,4.97,4,F,100,1,0.2053868297249507,0.34839901594443556,0.5220063149724423
37,111015_1,1,2,46,banana_neg,banana_pos,banana_neg,negation,negative,distractor,target,L,banana_pos,N,11/10/2015,13:10:00,0.741000000000001,4.97,4,F,100,0,-0.2997546536860488,0.34839901594443556,0.5220063149724423
38,111015_1,1,2,7,bicycle_pos,bicycle_pos,bicycle_neg,negation,positive,target,distractor,L,bicycle_pos,Y,11/10/2015,13:10:00,1.322,4.97,4,F,100,1,0.2791457414294946,0.34839901594443556,0.5220063149724423
39,111015_1,1,2,41,lamp_neg,lamp_neg,lamp_pos,negation,negative,target,distractor,R,lamp_pos,N,11/10/2015,13:10:00,0.742999999999997,4.97,4,F,100,0,-0.2970592342643819,0.34839901594443556,0.5220063149724423
40,111015_1,1,2,6,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,L,teddybear_implic,Y,11/10/2015,13:10:00,1.549,4.97,4,F,100,1,0.4376095614347315,0.34839901594443556,0.5220063149724423
41,111015_1,1,2,29,flower_control,flower_foil,flower_control,implicature,unambiguous,distractor,target,R,flower_control,Y,11/10/2015,13:10:00,3.588,4.97,4,F,100,1,1.2775949441965497,0.34839901594443556,0.5220063149724423
42,111015_1,1,2,7,car_pos,car_pos,car_inhib,inhibition,control,target,distractor,R,car_inhib,N,11/10/2015,13:10:00,1.868,4.97,4,F,100,0,0.6248683398066509,0.34839901594443556,0.5220063149724423
43,111015_1,1,2,8,car_pos,car_pos,car_inhib,inhibition,control,target,distractor,R,car_inhib,N,11/10/2015,13:10:00,1.743,4.97,4,F,100,0,0.5556077665378839,0.34839901594443556,0.5220063149724423
44,111015_1,1,2,48,apple_pos,apple_pos,apple_neg,negation,positive,target,distractor,L,apple_pos,Y,11/10/2015,13:10:00,1.49,4.97,4,F,100,1,0.3987761199573678,0.34839901594443556,0.5220063149724423
