X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,response_numeric
1,1,2,4,1,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,1.315,1
2,1,2,4,2,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,1.429,1
3,1,2,4,3,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.915,1
4,1,2,4,4,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,R,teddybear_control,Y,7/23/2015,12:17:00,0.964,1
5,1,2,4,5,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.724,1
6,1,2,4,6,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.692,1
7,1,2,4,7,dog_control,dog_control,dog_foil,implicature,unambiguous,target,distractor,L,dog_control,Y,7/23/2015,12:17:00,0.812,1
8,1,2,4,8,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.685,1
9,1,2,4,9,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.827,1
10,1,2,4,10,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.817,1
11,1,2,4,11,car_control,car_foil,car_control,implicature,unambiguous,distractor,target,R,car_control,Y,7/23/2015,12:17:00,0.731,1
12,1,2,4,12,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,7/23/2015,12:17:00,0.767,1
13,1,2,4,13,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.662,1
14,1,2,4,14,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.684,0
15,1,2,4,15,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.625,1
16,1,2,4,16,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,R,teddybear_control,Y,7/23/2015,12:17:00,0.665,1
17,1,2,4,17,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,7/23/2015,12:17:00,0.686,1
18,1,2,4,18,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.863,1
19,1,2,4,19,cat_implic,cat_implic,cat_control,implicature,implicature,target,distractor,L,cat_implic,Y,7/23/2015,12:17:00,0.629,1
