subid,list,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup
pilot_1,1,F,no,asian,95,3,6,6,0,5.06,5
pilot_2,2,M,no,asian,100,1,6,4,0,4.20,4
pilot_3,1,F,no,indian,95,1,6,6,0,4.70,4
pilot_4,2,F,no,indian,95,1,6,6,0,8.51,8
pilot_5,1,F,yes,hispanic,100,1,2,2,0,6.74,6
11115_1,1,F,no,asian,95,4,6,6,0,5.62,5
11115_2,2,F,no,asian,75,2,6,6,0,5.86,5
11315_1,1,F,no,white,100,1,4,6,0,6.47,6
11315_2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11315_3,1,M,no,other:chinese/irish,95,3,4,3,0,5.58,5
11315_4,2,F,no,white,75,3,6,6,0,3.52,3
11315_5,1,F,no,asian,95,2,6,6,0,3.81,3
11315_6,2,F,no,NA,50,2,4,4,0,7.58,7
11315_7,1,M,no,asian,100,1,4,4,0,6.99,6
11415_1,1,F,yes,american indiaNAlaskan native/white/other,100,3,3,3,0,5.06,5
11415_2,2,F,no,white,100,1,4,2,0,6.25,6
11415_3,1,F,no,white,100,1,4,3,0,8.07,8
11415_4,2,M,no,white,100,1,4,3,0,5.63,5
11415_5,1,F,yes,white,100,1,4,3,0,3.19,3
11515_1,1,M,no,white,95,2,6,5,0,6.53,6
11515_2,2,M,no,asian,50,2,6,6,0,5.76,5
11515_3,1,M,no,white,100,2,6,3,0,9.24,9
11515_4,2,M,no,white,100,1,4,3,0,3.95,3
11615_1,1,M,no,asian,50,2,6,6,0,4.32,4
11615_2,2,F,yes,white,100,1,4,3,0,4.06,4
11815_1,1,F,no,asian,75,2,6,6,0,5.85,5
11815_2,2,M,no,asian/white,75,2,5,6,NA,6.30,6
11815_3,1,F,yes,black,100,1,6,4,0,3.38,3
11815_4,2,F,no,asian,50,2,6,6,0,4.36,4
11815_5,1,F,no,asian/white,75,2,6,6,0,4.60,4
11815_6,2,F,NA,NA,95,2,NA,6,0,2.87,2
11815_7,1,F,NA,NA,95,3,NA,6,0,4.82,4
111015_1,1,F,yes,white,100,1,6,6,0,4.97,4
111015_2,2,F,yes,hispanic,75,2,NA,NA,NA,3.92,3
111015_3,1,F,no,white,95,2,6,4,0,3.53,3
111015_4,2,M,no,asian,100,2,4,4,0,5.03,5
111115_1,1,M,no,american indiaNAlaskan native/white/black,100,2,6,3,0,6.71,6
111115_2,2,F,no,asian,100,2,3,2,0,6.49,6
111115_3,1,F,no,white,100,2,6,6,0,4.65,4
111115_4,2,M,no,"white, native hawaaian",100,1,4,4,0,6.77,6
111115_5,1,F,yes,other,100,2,2,2,0,4.72,4
111115_6,2,M,no,NA,100,1,6,6,0,3.64,3
111115_6,2,M,yes,native hawaiian,100,2,6,6,0,8.51,8
111115_7,1,F,no,white,100,1,4,4,0,6.92,6
111115_8,2,F,no,white,100,1,6,3,0,5.27,5
111115_9,1,F,no,asian,75,2,6,6,0,6.08,6
111115_10,2,F,no,asian,50,2,4,3,0,7.07,7
111115_11,1,M,no,asian,100,1,6,6,0,7.37,7
111115_12,2,F,no,asian,100,1,6,6,0,4.36,4
111115_13,1,M,no,asian/indian,75,2,4,3,0,7.32,7
111115_14,2,F,no,white,100,1,4,3,0,4.60,4
111115_15,1,M,no,white,100,1,3,2,1,3.80,3
111115_16,2,M,yes,hispanic,100,2,4,3,0,4.23,4
111115_17,1,F,no,"asian, white",95,2,6,6,0,5.59,5
111215_1,1,F,no,white,100,1,6,6,0,4.66,4
111215_2,2,M,no,black/african american,100,2,6,3,0,7.49,7
111215_3,1,M,no,black/african american,100,1,4,3,0,7.61,7
111215_4,2,M,no,black/african american,100,2,6,3,0,4.24,4
111215_5,1,F,no,black/african american,100,2,6,3,0,6.04,6
111215_6,2,M,no,asian,50,1,4,NA,0,3.70,3
111215_7,1,F,no,white,100,1,6,5,0,5.61,5
111315_1,1,M,no,black/african american,95,2,3,4,0,3.88,3
111315_2,2,M,no,black/african american,95,2,3,4,0,6.15,6
111315_3,1,F,no,white,100,1,4,4,0,8.18,8
111315_4,2,F,no,white,95,2,2,3,1,3.63,3
111315_5,1,F,yes,black/african american,75,3,4,4,0,4.66,4
111315_6,2,F,no,white,100,1,6,2,0,3.93,3
111315_7,1,F,no,asian,75,4,6,6,0,5.62,5
111315_8,2,F,yes,NA,75,2,3,6,0,4.58,4
111315_9,1,F,no,asian,50,3,6,6,1,4.40,4
111315_10,2,F,no,asian,50,3,6,6,1,4.40,4
111315_11,1,F,no,asian,50,2,6,6,0,6.89,6
111515_1,1,F,no,white,100,3,1,6,1,5.32,5
111515_2,2,F,no,white,75,3,6,6,0,4.64,4
111515_3,1,F,no,white,75,3,6,6,0,5.95,5
111515_4,2,F,no,white,100,1,6,4,0,4.41,4
111515_5,1,F,no,white,95,2,6,6,0,2.46,2
111515_6,2,F,yes,other,95,1,6,4,0,5.38,5
111515_7,1,F,no,asian,100,1,4,6,0,6.41,6
111515_8,2,M,no,asian,100,1,4,6,0,6.41,6
111715_1,1,M,no,american indiaNAlaskan native,100,2,3,2,0,4.49,4
111715_2,2,M,no,white,95,2,6,3,0,4.39,4
111715_3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111715_4,2,F,no,white,95,1,4,4,0,5.56,5
111815_1,1,F,no,white,100,1,3,2,0,7.00,7
111815_2,2,M,no,white,100,1,3,2,0,4.99,4
111815_3,1,M,no,white,100,1,3,2,0,3.72,3
111815_4,2,M,yes,hispanic/middle eastern,95,2,4,3,1,6.10,6
111815_5,1,M,yes,hispanic/middle eastern,95,2,4,3,1,6.10,6
111915_1,1,F,no,white,100,1,6,4,0,6.65,6
111915_2,2,M,no,asian,100,1,4,6,0,7.58,7
111915_3,1,F,no,asian,100,1,4,6,0,5.36,5
112015_1,1,F,no,white,100,1,6,6,0,4.79,4
112015_2,2,F,no,white,100,2,6,6,0,3.16,3
112015_3,1,F,no,white,100,2,6,6,0,6.60,6
112015_4,2,F,no,white,100,2,6,6,0,4.51,4
112015_5,1,M,yes,mexican/ italian,95,2,4,4,0,2.51,2
112015_6,2,F,no,asian,95,2,6,6,0,9.15,9
112015_7,1,M,no,asian,95,2,6,6,1,6.00,6
112015_8,2,F,no,white,100,1,6,6,0,3.86,3
112015_9,1,M,no,white,100,1,6,6,0,6.27,6
112015_10,2,F,no,asian,75,3,6,6,0,4.00,4
112015_11,1,F,no,white/asian/black or african american,100,1,3,3,0,5.32,5
112415_1,1,M,yes,hispanic ,100,2,NA,2,NA,4.90,4
112415_2,2,M,no,asian,95,2,6,6,1,8.55,8
112415_3,1,F,no,asian,95,2,6,6,0,5.16,5
112415_4,2,F,no,asian,100,3,6,6,0,8.52,8
112415_5,1,M,no,asian,100,3,6,6,0,6.08,6
112515_1,1,M,yes,hispanic,95,2,6,6,0,9.90,9
112515_2,2,F,no,asian,100,2,6,6,0,6.81,6
112515_3,1,F,no,asian,95,2,6,6,0,3.47,3
112515_4,2,M,no,asian,95,2,6,6,0,9.39,9
112515_5,1,M,no,asian,100,2,6,6,0,10.87,10
112515_6,2,M ,no,asian,100,1,6,6,0,8.37,8
112515_7,1,M,yes,white,50,2,5,NA,0,6.63,6
112515_8,2,F,yes,hispanic,50,2,5,NA,0,7.48,7
112515_9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112715_1,1,M,no,asian/white,100,1,4,4,0,6.08,6
112715_2,2,M,no,white,95,3,3,3,0,6.92,6
112715_3,1,M,no,white,100,1,6,6,0,4.61,4
112715_4,2,F,yes,white,95,2,2,2,0,4.52,4
112715_5,1,F,yes,white,100,1,6,4,0,7.48,7
112715_6,2,M,yes,white,95,2,3,3,0,4.42,4
112715_7,1,F,no,white,100,2,3,NA,0,7.28,7
112715_8,2,F,no,asian ,75,3,4,4,0,3.08,3
112715_9,1,M,no,white/black,100,1,3,NA,0,3.74,3
112915_1,1,F,no,black/african american/haiti/american indian,75,2,4,6,0,4.78,4
12115_1,1,M,no,american indiaNAlaskan/black/african american/white,75,2,4,6,0,3.36,3
12115_2,2,M,no,other: biracial,100,4,6,6,0,4.90,4
12115_3,1,M,no,white,100,1,6,4,0,3.47,3
12115_4,2,F,no,asian,25,2,4,5,0,3.27,3
12215_1,1,F,no,white,100,1,4,4,0,3.11,3
12215_2,2,F,no,Black/african american,100,1,5,4,0,5.13,5
12215_3,1,F,no,asian,95,1,4,4,1,9.66,9
12215_4,2,F,no,white,100,1,4,3,0,6.20,6
12215_5,1,M,no,asian,95,1,4,4,0,5.61,5
12215_6,2,F,no,white,75,2,4,4,0,3.67,3
12215_7,1,M,no,asian,100,3,6,4,0,4.70,4
12415_1,1,M,no,white/asian,100,2,6,6,0,4.68,4
