Sub_ID,age,agegroup,Gender,List,Ethnicity
072715-01,4.29,4,F,1,C
072715-02,4.62,4,M,2,C
072815-03,4.46,4,F,1,A
072815-04,4.78,4,M,2,I
072815-05,4.99,4,F,1,C
072815-06,5.66,5,F,2,AC
072815-07,5.85,5,F,1,H
072815-08,4.56,4,M,2,H
072915-09,4.25,4,F,1,Af
072915-10,4.76,4,M,2,C
072915-11,5.00,5,F,1,A
072915-12,4.07,4,F,2,C
073015-13,4.23,4,M,1,I
073015-14,4.06,4,F,2,C
073015-15,4.62,4,M,1,AC
073015-16,4.76,4,F,2,ME
073115-17,4.44,4,M,1,IC
073115-18,5.52,5,M,2,Cj
073115-19,4.80,4,M,1,
080315-21,5.10,5,F,1,C
080415-22,4.02,4,M,2,AfI
080415-23,4.70,4,F,1,A
080415-24,4.95,4,F,2,AC
080515-25,4.04,4,F,1,CA
080415-26,5.02,5,M,1,HA/C
080615-27,5.22,5,M,2,C
080615-28,3.03,3,F,1,C
080615-29,4.49,4,M,2,I
