study name,subid,list,gender,hisp,ethnicity,english,numlang,parented,othered,premie,video consent,age,agegroup
Neginhib,pilot_1,1,F,no,asian,95,3,6,6,0,yes,5.06,5
Neginhib,pilot_2,2,M,no,asian,100,1,6,4,0,yes,4.20,4
Neginhib,pilot_3,1,F,no,indian,95,1,6,6,0,yes,4.70,4
Neginhib,pilot_4,2,F,no,indian,95,1,6,6,0,yes,8.51,8
Neginhib,pilot_5,1,F,yes,hispanic,100,1,2,2,0,yes,6.74,6
Neginhib,11115_1,1,F,no,asian,95,4,6,6,0,yes,5.62,5
Neginhib,11115_2,2,F,no,asian,75,2,6,6,0,yes,5.86,5
Neginhib,11315_1,1,F,no,white,100,1,4,6,0,yes,6.47,6
Neginhib,11315_2,2,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Neginhib,11315_3,1,M,no,other:chinese/irish,95,3,4,3,0,yes,5.58,5
Neginhib,11315_4,2,F,no,white,75,3,6,6,0,yes,3.52,3
Neginhib,11315_5,1,F,no,asian,95,2,6,6,0,yes,3.81,3
Neginhib,11315_6,2,F,no,decline to state,50,2,4,4,0,no,7.58,7
Neginhib,11315_7,1,M,no,asian,100,1,4,4,0,yes,6.99,6
Neginhib,11415_1,1,F,yes,american indiaNAlaskan native/white/other,100,3,3,3,0,yes,5.06,5
Neginhib,11415_2,2,F,no,white,100,1,4,2,0,yes,6.25,6
Neginhib,11415_3,1,F,no,white,100,1,4,3,0,yes,8.07,8
Neginhib,11415_4,2,M,no,white,100,1,4,3,0,yes,5.63,5
Neginhib,11415_5,1,F,yes,white,100,1,4,3,0,yes,3.19,3
Neginhib,11515_1,1,M,no,white,95,2,6,5,0,no,6.53,6
Neginhib,11515_2,2,M,no,asian,50,2,6,6,0,yes,5.76,5
Neginhib,11515_3,1,M,no,white,100,2,6,3,0,yes,9.24,9
Neginhib,11515_4,2,M,no,white,100,1,4,3,0,yes,3.95,3
Neginhib,11615_1,1,M,no,asian,50,2,6,6,0,no,4.32,4
Neginhib,11615_2,2,F,yes,white,100,1,4,3,0,yes,4.06,4
Neginhib,11815_1,1,F,no,asian,75,2,6,6,0,yes,5.85,5
Neginhib,11815_2,2,M,no,asian/white,75,2,5,6,decline to state,yes,6.30,6
Neginhib,11815_3,1,F,yes,black,100,1,6,4,0,yes,3.38,3
Neginhib,11815_4,2,F,no,asian,50,2,6,6,0,yes,4.36,4
Neginhib,11815_5,1,F,no,asian/white,75,2,6,6,0,yes,4.60,4
Neginhib,11815_6,2,F,decline,decline to state,95,2,NA,6,0,yes,2.87,2
Neginhib,11815_7,1,F,decline,decline to state,95,3,NA,6,0,yes,4.82,4
Neginhib,111015_1,1,F,yes,white,100,1,6,6,0,yes,4.97,4
Neginhib,111015_2,2,F,yes,hispanic,75,2,NA,NA,NA,yes,3.92,3
Neginhib,111015_3,1,F,no,white,95,2,6,4,0,yes,3.53,3
Neginhib,111015_4,2,M,no,asian,100,2,4,4,0,yes,5.03,5
Neginhib,111115_1,1,M,no,american indiaNAlaskan native/white/black,100,2,6,3,0,yes,6.71,6
Neginhib,111115_2,2,F,no,asian,100,2,3,2,0,yes,6.49,6
Neginhib,111115_3,1,F,no,white,100,2,6,6,0,yes,4.65,4
Neginhib,111115_4,2,M,no,"white, native hawaaian",100,1,4,4,0,yes,6.77,6
Neginhib,111115_5,1,F,yes,other,100,2,2,2,0,yes,4.72,4
Neginhib,111115_6,2,M,no,decline to state,100,1,6,6,0,yes,3.64,3
Neginhib,111115_6,2,M,yes,native hawaiian,100,2,6,6,0,no,8.51,8
Neginhib,111115_7,1,F,no,white,100,1,4,4,0,no,6.92,6
Neginhib,111115_8,2,F,no,white,100,1,6,3,0,yes,5.27,5
Neginhib,111115_9,1,F,no,asian,75,2,6,6,0,yes,6.08,6
Neginhib,111115_10,2,F,no,asian,50,2,4,3,0,yes,7.07,7
Neginhib,111115_11,1,M,no,asian,100,1,6,6,0,no,7.37,7
Neginhib,111115_12,2,F,no,asian,100,1,6,6,0,yes,4.36,4
Neginhib,111115_13,1,M,no,asian/indian,75,2,4,3,0,yes,7.32,7
Neginhib,111115_14,2,F,no,white,100,1,4,3,0,no,4.60,4
Neginhib,111115_15,1,M,no,white,100,1,3,2,1,yes,3.80,3
Neginhib,111115_16,2,M,yes,hispanic,100,2,4,3,0,no,4.23,4
Neginhib,111115_17,1,F,no,"asian, white",95,2,6,6,0,yes,5.59,5
Neginhib,111215_1,1,F,no,white,100,1,6,6,0,yes,4.66,4
Neginhib,111215_2,2,M,no,black/african american,100,2,6,3,0,yes,7.49,7
Neginhib,111215_3,1,M,no,black/african american,100,1,4,3,0,yes,7.61,7
Neginhib,111215_4,2,M,no,black/african american,100,2,6,3,0,yes,4.24,4
Neginhib,111215_5,1,F,no,black/african american,100,2,6,3,0,yes,6.04,6
Neginhib,111215_6,2,M,no,asian,50,1,4,NA,0,no,3.70,3
Neginhib,111215_7,1,F,no,white,100,1,6,5,0,yes,5.61,5
Neginhib,111315_1,1,M,no,black/african american,95,2,3,4,0,yes,3.88,3
Neginhib,111315_2,2,M,no,black/african american,95,2,3,4,0,yes,6.15,6
Neginhib,111315_3,1,F,no,white,100,1,4,4,0,yes,8.18,8
Neginhib,111315_4,2,F,no,white,95,2,2,3,1,no,3.63,3
Neginhib,111315_5,1,F,yes,black/african american,75,3,4,4,0,yes,4.66,4
Neginhib,111315_6,2,F,no,white,100,1,6,2,0,yes,3.93,3
Neginhib,111315_7,1,F,no,asian,75,4,6,6,0,yes,5.62,5
Neginhib,111315_8,2,F,yes,NA,75,2,3,6,0,yes,4.58,4
Neginhib,111315_9,1,F,no,asian,50,3,6,6,1,yes,4.40,4
Neginhib,111315_10,2,F,no,asian,50,3,6,6,1,yes,4.40,4
Neginhib,111315_11,1,F,no,asian,50,2,6,6,0,yes,6.89,6
Neginhib,111515_1,1,F,no,white,100,3,1,6,1,yes,5.32,5
