"","subid","list","game.order","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","date","timestamp","rt","age","agegroup","gender"
"1","072715-01",1,6,1,"dog_pos","dog_pos","dog_neg","negation","positive","target","distractor","L","dog_pos","Y","7/27/2015","9:22",3665,4.29,4,"F"
"2","072715-01",1,6,2,"cat_neg","cat_neg","cat_pos","negation","negative","target","distractor","R","cat_pos","N","7/27/2015","9:22",2313,4.29,4,"F"
"3","072715-01",1,6,3,"teddybear_pos","teddybear_neg","teddybear_pos","negation","positive","distractor","target","R","teddybear_pos","Y","7/27/2015","9:22",1804,4.29,4,"F"
"4","072715-01",1,6,4,"cookie_pos","cookie_pos","cookie_neg","negation","positive","target","distractor","L","cookie_pos","Y","7/27/2015","9:22",1576,4.29,4,"F"
"5","072715-01",1,6,9,"apple_neg","apple_neg","apple_pos","negation","negative","target","distractor","L","apple_neg","Y","7/27/2015","9:22",2748,4.29,4,"F"
"6","072715-01",1,6,10,"bird_pos","bird_pos","bird_neg","negation","positive","target","distractor","L","bird_pos","Y","7/27/2015","9:22",1919,4.29,4,"F"
"7","072715-01",1,6,11,"flower_neg","flower_neg","flower_pos","negation","negative","target","distractor","L","flower_neg","Y","7/27/2015","9:22",1813,4.29,4,"F"
"8","072715-01",1,6,12,"banana_pos","banana_neg","banana_pos","negation","positive","distractor","target","R","banana_pos","Y","7/27/2015","9:22",1359,4.29,4,"F"
"9","072715-01",1,6,13,"flower_pos","flower_pos","flower_neg","negation","positive","target","distractor","L","flower_pos","Y","7/27/2015","9:22",1546,4.29,4,"F"
"10","072715-01",1,6,14,"bicycle_pos","bicycle_neg","bicycle_pos","negation","positive","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",1378,4.29,4,"F"
"11","072715-01",1,6,15,"cookie_neg","cookie_neg","cookie_pos","negation","negative","target","distractor","L","cookie_neg","Y","7/27/2015","9:22",2472,4.29,4,"F"
"12","072715-01",1,6,16,"cat_pos","cat_neg","cat_pos","negation","positive","distractor","target","R","cat_pos","Y","7/27/2015","9:22",1527,4.29,4,"F"
"13","072715-01",1,6,17,"lamp_pos","lamp_neg","lamp_pos","negation","positive","distractor","target","R","lamp_pos","Y","7/27/2015","9:22",1250,4.29,4,"F"
"14","072715-01",1,6,18,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y","7/27/2015","9:22",1397,4.29,4,"F"
"15","072715-01",1,6,19,"bird_neg","bird_neg","bird_pos","negation","negative","target","distractor","L","bird_neg","Y","7/27/2015","9:22",1971,4.29,4,"F"
"16","072715-01",1,6,20,"cup_pos","cup_neg","cup_pos","negation","positive","distractor","target","R","cup_pos","Y","7/27/2015","9:22",1433,4.29,4,"F"
"17","072715-01",1,6,21,"teddybear_neg","teddybear_pos","teddybear_neg","negation","negative","distractor","target","R","teddybear_neg","Y","7/27/2015","9:22",1283,4.29,4,"F"
"18","072715-01",1,6,22,"dog_pos","dog_neg","dog_pos","negation","positive","distractor","target","R","dog_pos","Y","7/27/2015","9:22",1428,4.29,4,"F"
"19","072715-01",1,6,23,"banana_pos","banana_pos","banana_neg","negation","positive","target","distractor","L","banana_pos","Y","7/27/2015","9:22",1419,4.29,4,"F"
"20","072715-01",1,6,24,"car_neg","car_pos","car_neg","negation","negative","distractor","target","R","car_neg","Y","7/27/2015","9:22",1285,4.29,4,"F"
