"","subid","list","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","rt","agegroup"
"1","111015_1",1,30,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y",1929,4
"2","111015_1",1,18,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y",1864,4
"3","111015_1",1,19,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","R","dog_pos","Y",1438,4
"4","111015_1",1,53,"flower_inhib","flower_pos","flower_inhib","inhibition","inhib","distractor","target","R","flower_inhib","Y",1623,4
"5","111015_1",1,21,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y",1684,4
"6","111015_1",1,13,"car_inhib","car_inhib","car_pos","inhibition","inhib","target","distractor","L","car_inhib","Y",4714,4
"7","111015_1",1,14,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","L","dog_inhib","N",291,4
"8","111015_1",1,15,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y",3047,4
"9","111015_1",1,12,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N",1575,4
"10","111015_1",1,17,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","R","dog_pos","Y",1282,4
"11","111015_1",1,5,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","R","apple_inhib","N",1875,4
"12","111015_1",1,55,"cookie_pos","cookie_pos","cookie_inhib","inhibition","control","target","distractor","L","cookie_pos","Y",1389,4
"13","111015_1",1,16,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","L","dog_inhib","N",2217,4
"14","111015_1",1,46,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y",1312,4
"15","111015_1",1,22,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y",1441,4
"16","111015_1",1,10,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","L","car_inhib","N",297,4
"17","111015_1",1,52,"flower_pos","flower_inhib","flower_pos","inhibition","control","distractor","target","R","flower_pos","Y",1975,4
"18","111015_1",1,26,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y",1425,4
"19","111015_1",1,27,"teddybear_inhib","teddybear_inhib","teddybear_pos","inhibition","inhib","target","distractor","L","teddybear_inhib","Y",1166,4
"20","111015_1",1,28,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","R","banana_inhib","N",1380,4
"21","111015_1",1,29,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y",1161,4
"22","111015_1",1,7,"bicycle_pos","bicycle_pos","bicycle_neg","negation","positive","target","distractor","L","bicycle_pos","Y",1322,4
