"","subid","list","game.order","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","date","timestamp","rt","gender","age","language"
"1","1",1,2,40,"car_implic","car_control","car_implic","negimp","implicature","distractor","target","R","car_implic","Y","8/10/2015","17:39",1120,"M","35","English"
"2","1",1,2,38,"flower_implic","flower_implic","flower_control","negimp","implicature","target","distractor","L","flower_implic","Y","8/10/2015","17:39",905,"M","35","English"
"3","1",1,2,44,"bird_neg","bird_neg","bird_pos","negimp","negative","target","distractor","L","bird_neg","Y","8/10/2015","17:39",877,"M","35","English"
"4","1",1,2,42,"cup_pos","cup_neg","cup_pos","negimp","positive","distractor","target","R","cup_pos","Y","8/10/2015","17:39",798,"M","35","English"
"5","1",1,2,43,"bicycle_pos","bicycle_pos","bicycle_neg","negimp","positive","target","distractor","L","bicycle_pos","Y","8/10/2015","17:39",1187,"M","35","English"
"6","1",1,2,35,"flower_pos","flower_neg","flower_pos","negimp","positive","distractor","target","R","flower_pos","Y","8/10/2015","17:39",828,"M","35","English"
"7","1",1,2,36,"lamp_control","lamp_control","lamp_foil","negimp","unambiguous","target","distractor","L","lamp_control","Y","8/10/2015","17:39",904,"M","35","English"
"8","1",1,2,37,"teddybear_neg","teddybear_neg","teddybear_pos","negimp","negative","target","distractor","L","teddybear_neg","Y","8/10/2015","17:39",940.999999999998,"M","35","English"
"9","1",1,2,39,"cat_implic","cat_implic","cat_control","negimp","implicature","target","distractor","L","cat_implic","Y","8/10/2015","17:39",735,"M","35","English"
"10","1",1,2,12,"banana_pos","banana_neg","banana_pos","negimp","positive","distractor","target","R","banana_pos","Y","8/10/2015","17:39",1269,"M","35","English"
"11","1",1,2,13,"flower_pos","flower_neg","flower_pos","negimp","positive","distractor","target","R","flower_pos","Y","8/10/2015","17:39",917,"M","35","English"
"12","1",1,2,14,"bicycle_control","bicycle_control","bicycle_foil","negimp","unambiguous","target","distractor","L","bicycle_control","Y","8/10/2015","17:39",941,"M","35","English"
"13","1",1,2,15,"cookie_neg","cookie_pos","cookie_neg","negimp","negative","distractor","target","R","cookie_neg","Y","8/10/2015","17:39",966,"M","35","English"
"14","1",1,2,16,"cat_control","cat_control","cat_foil","negimp","unambiguous","target","distractor","L","cat_control","Y","8/10/2015","17:39",1121,"M","35","English"
"15","1",1,2,17,"lamp_neg","lamp_pos","lamp_neg","negimp","negative","distractor","target","R","lamp_neg","Y","8/10/2015","17:39",1203,"M","35","English"
"16","1",1,2,18,"apple_control","apple_control","apple_foil","negimp","unambiguous","target","distractor","L","apple_control","Y","8/10/2015","17:39",891,"M","35","English"
"17","1",1,2,19,"bird_control","bird_foil","bird_control","negimp","unambiguous","distractor","target","R","bird_control","Y","8/10/2015","17:39",827,"M","35","English"
"18","1",1,2,20,"cup_neg","cup_pos","cup_neg","negimp","negative","distractor","target","R","cup_neg","Y","8/10/2015","17:39",734.000000000001,"M","35","English"
"19","1",1,2,21,"teddybear_implic","teddybear_implic","teddybear_control","negimp","implicature","target","distractor","L","teddybear_implic","Y","8/10/2015","17:39",1061,"M","35","English"
"20","1",1,2,22,"dog_implic","dog_implic","dog_control","negimp","implicature","target","distractor","L","dog_implic","Y","8/10/2015","17:39",798,"M","35","English"
"21","1",1,2,23,"banana_implic","banana_implic","banana_control","negimp","implicature","target","distractor","L","banana_implic","Y","8/10/2015","17:39",820,"M","35","English"
"22","1",1,2,24,"car_control","car_foil","car_control","negimp","unambiguous","distractor","target","R","car_control","Y","8/10/2015","17:39",782,"M","35","English"
"23","1",1,2,25,"car_pos","car_neg","car_pos","negimp","positive","distractor","target","R","car_pos","Y","8/10/2015","17:39",751,"M","35","English"
"24","1",1,2,26,"banana_neg","banana_neg","banana_pos","negimp","negative","target","distractor","L","banana_neg","Y","8/10/2015","17:39",880.000000000001,"M","35","English"
"25","1",1,2,27,"cat_implic","cat_control","cat_implic","negimp","implicature","distractor","target","R","cat_implic","Y","8/10/2015","17:39",836,"M","35","English"
"26","1",1,2,28,"bird_pos","bird_neg","bird_pos","negimp","positive","distractor","target","R","bird_pos","Y","8/10/2015","17:39",765,"M","35","English"
"27","1",1,2,29,"teddybear_pos","teddybear_pos","teddybear_neg","negimp","positive","target","distractor","L","teddybear_pos","Y","8/10/2015","17:39",893,"M","35","English"
"28","1",1,2,30,"cookie_pos","cookie_neg","cookie_pos","negimp","positive","distractor","target","R","cookie_pos","Y","8/10/2015","17:39",971,"M","35","English"
"29","1",1,2,31,"apple_control","apple_foil","apple_control","negimp","unambiguous","distractor","target","R","apple_control","Y","8/10/2015","17:39",785,"M","35","English"
"30","1",1,2,32,"cup_neg","cup_neg","cup_pos","negimp","negative","target","distractor","L","cup_neg","Y","8/10/2015","17:39",812.000000000001,"M","35","English"
"31","1",1,2,33,"dog_control","dog_foil","dog_control","negimp","unambiguous","distractor","target","R","dog_control","Y","8/10/2015","17:39",856,"M","35","English"
"32","1",1,2,34,"bicycle_neg","bicycle_neg","bicycle_pos","negimp","negative","target","distractor","L","bicycle_neg","Y","8/10/2015","17:39",784.000000000001,"M","35","English"
"33","1",1,2,75,"cat_control","cat_foil","cat_control","negimp","unambiguous","distractor","target","R","cat_control","Y","8/10/2015","17:39",688,"M","35","English"
"34","1",1,2,76,"flower_control","flower_foil","flower_control","negimp","unambiguous","distractor","target","R","flower_control","Y","8/10/2015","17:39",910,"M","35","English"
"35","1",1,2,77,"car_control","car_foil","car_control","negimp","unambiguous","distractor","target","R","car_control","Y","8/10/2015","17:39",835,"M","35","English"
"36","1",1,2,78,"cup_implic","cup_control","cup_implic","negimp","implicature","distractor","target","L","cup_control","N","8/10/2015","17:39",784,"M","35","English"
"37","1",1,2,79,"banana_pos","banana_pos","banana_neg","negimp","positive","target","distractor","L","banana_pos","Y","8/10/2015","17:39",723,"M","35","English"
"38","1",1,2,80,"teddybear_implic","teddybear_control","teddybear_implic","negimp","implicature","distractor","target","R","teddybear_implic","Y","8/10/2015","17:39",690,"M","35","English"
"39","1",1,2,41,"lamp_control","lamp_foil","lamp_control","negimp","unambiguous","distractor","target","R","lamp_control","Y","8/10/2015","17:39",725,"M","35","English"
"40","1",1,2,82,"bird_neg","bird_pos","bird_neg","negimp","negative","distractor","target","R","bird_neg","Y","8/10/2015","17:39",2738,"M","35","English"
"41","1",1,2,83,"dog_neg","dog_pos","dog_neg","negimp","negative","distractor","target","R","dog_neg","Y","8/10/2015","17:39",1739,"M","35","English"
"42","1",1,2,84,"apple_control","apple_control","apple_foil","negimp","unambiguous","target","distractor","L","apple_control","Y","8/10/2015","17:39",721,"M","35","English"
"43","1",1,2,85,"teddybear_implic","teddybear_implic","teddybear_control","negimp","implicature","target","distractor","L","teddybear_implic","Y","8/10/2015","17:39",1048,"M","35","English"
"44","1",1,2,86,"flower_neg","flower_pos","flower_neg","negimp","negative","distractor","target","R","flower_neg","Y","8/10/2015","17:39",929,"M","35","English"
"45","1",1,2,87,"apple_pos","apple_neg","apple_pos","negimp","positive","distractor","target","R","apple_pos","Y","8/10/2015","17:39",748,"M","35","English"
"46","1",1,2,88,"bicycle_neg","bicycle_neg","bicycle_pos","negimp","negative","target","distractor","L","bicycle_neg","Y","8/10/2015","17:39",752.000000000001,"M","35","English"
"47","1",1,2,89,"car_pos","car_neg","car_pos","negimp","positive","distractor","target","R","car_pos","Y","8/10/2015","17:39",880,"M","35","English"
"48","1",1,2,90,"cat_control","cat_control","cat_foil","negimp","unambiguous","target","distractor","L","cat_control","Y","8/10/2015","17:39",1101,"M","35","English"
"49","1",1,2,91,"lamp_implic","lamp_implic","lamp_control","negimp","implicature","target","distractor","L","lamp_implic","Y","8/10/2015","17:39",1490,"M","35","English"
"50","1",1,2,92,"cookie_neg","cookie_neg","cookie_pos","negimp","negative","target","distractor","L","cookie_neg","Y","8/10/2015","17:39",695,"M","35","English"
"51","1",1,2,93,"banana_implic","banana_control","banana_implic","negimp","implicature","distractor","target","R","banana_implic","Y","8/10/2015","17:39",3093,"M","35","English"
"52","1",1,2,94,"cup_implic","cup_implic","cup_control","negimp","implicature","target","distractor","L","cup_implic","Y","8/10/2015","17:39",1007,"M","35","English"
"53","1",1,2,95,"bird_control","bird_control","bird_foil","negimp","unambiguous","target","distractor","L","bird_control","Y","8/10/2015","17:39",1485,"M","35","English"
"54","1",1,2,96,"dog_pos","dog_neg","dog_pos","negimp","positive","distractor","target","R","dog_pos","Y","8/10/2015","17:39",1595,"M","35","English"
"55","1",1,2,97,"car_neg","car_neg","car_pos","negimp","negative","target","distractor","L","car_neg","Y","8/10/2015","17:39",2130,"M","35","English"
"56","1",1,2,98,"teddybear_control","teddybear_foil","teddybear_control","negimp","unambiguous","distractor","target","R","teddybear_control","Y","8/10/2015","17:39",1812,"M","35","English"
"57","1",1,2,99,"cup_neg","cup_neg","cup_pos","negimp","negative","target","distractor","L","cup_neg","Y","8/10/2015","17:39",2188,"M","35","English"
"58","1",1,2,100,"apple_pos","apple_neg","apple_pos","negimp","positive","distractor","target","R","apple_pos","Y","8/10/2015","17:39",708,"M","35","English"
"59","1",1,2,101,"bicycle_control","bicycle_control","bicycle_foil","negimp","unambiguous","target","distractor","L","bicycle_control","Y","8/10/2015","17:39",2407,"M","35","English"
"60","1",1,2,102,"cookie_neg","cookie_neg","cookie_pos","negimp","negative","target","distractor","L","cookie_neg","Y","8/10/2015","17:39",1182,"M","35","English"
"61","1",1,2,103,"cat_pos","cat_neg","cat_pos","negimp","positive","distractor","target","R","cat_pos","Y","8/10/2015","17:39",1096,"M","35","English"
"62","1",1,2,104,"lamp_implic","lamp_implic","lamp_control","negimp","implicature","target","distractor","L","lamp_implic","Y","8/10/2015","17:39",823,"M","35","English"
"63","1",1,2,105,"bird_control","bird_foil","bird_control","negimp","unambiguous","distractor","target","R","bird_control","Y","8/10/2015","17:39",807,"M","35","English"
