trialtype,list1_order,list2_order,item
inhibition,12,1,cup
inhibition,11,2,bird
inhibition,10,3,lamp
inhibition,9,4,cookie
inhibition,8,5,flower
inhibition,7,6,cat
inhibition,6,7,bicycle
inhibition,5,8,banana
inhibition,4,9,teddybear
inhibition,3,10,dog
inhibition,2,11,car
inhibition,1,12,apple
negation,60,1,cookie
negation,59,2,flower
negation,58,3,cat
negation,57,4,bicycle
negation,56,5,lamp
negation,55,6,bird
negation,54,7,banana
negation,53,8,dog
negation,52,9,apple
negation,51,10,car
negation,50,11,teddybear
negation,49,12,cup
negation,48,13,apple
negation,47,14,cookie
negation,46,15,banana
negation,45,16,dog
negation,44,17,bird
negation,43,18,bicycle
negation,42,19,cup
negation,41,20,lamp
negation,40,21,car
negation,39,22,cat
negation,38,23,flower
negation,37,24,teddybear
negation,36,25,lamp
negation,35,26,flower
negation,34,27,bicycle
negation,33,28,dog
negation,32,29,cup
negation,31,30,apple
negation,30,31,cookie
negation,29,32,teddybear
negation,28,33,bird
negation,27,34,cat
negation,26,35,banana
negation,25,36,car
negation,24,37,car
negation,23,38,banana
negation,22,39,dog
negation,21,40,teddybear
negation,20,41,cup
negation,19,42,bird
negation,18,43,apple
negation,17,44,lamp
negation,16,45,cat
negation,15,46,cookie
negation,14,47,bicycle
negation,13,48,flower
negation,12,49,banana
negation,11,50,flower
negation,10,51,bird
negation,9,52,apple
negation,8,53,lamp
negation,7,54,bicycle
negation,6,55,cup
negation,5,56,car
negation,4,57,cookie
negation,3,58,teddybear
negation,2,59,cat
negation,1,60,dog
implicature,60,1,cat
implicature,59,2,bicycle
implicature,58,3,cup
implicature,57,4,teddybear
implicature,56,5,bird
implicature,55,6,apple
implicature,54,7,dog
implicature,53,8,cookie
implicature,52,9,banana
implicature,51,10,flower
implicature,50,11,car
implicature,49,12,lamp
implicature,48,13,apple
implicature,47,14,dog
implicature,46,15,cup
implicature,45,16,teddybear
implicature,44,17,bicycle
implicature,43,18,flower
implicature,42,19,cat
implicature,41,20,car
implicature,40,21,lamp
implicature,39,22,banana
implicature,38,23,bird
implicature,37,24,cookie
implicature,36,25,dog
implicature,35,26,lamp
implicature,34,27,cookie
implicature,33,28,car
implicature,32,29,cup
implicature,31,30,bicycle
implicature,30,31,teddybear
implicature,29,32,flower
implicature,28,33,cat
implicature,27,34,apple
implicature,26,35,banana
implicature,25,36,bird
implicature,24,37,teddybear
implicature,23,38,cup
implicature,22,39,car
implicature,21,40,banana
implicature,20,41,lamp
implicature,19,42,apple
implicature,18,43,cookie
implicature,17,44,cat
implicature,16,45,bird
implicature,15,46,flower
implicature,14,47,dog
implicature,13,48,bicycle
implicature,12,49,bird
implicature,11,50,flower
implicature,10,51,car
implicature,9,52,lamp
implicature,8,53,bicycle
implicature,7,54,dog
implicature,6,55,teddybear
implicature,5,56,cookie
implicature,4,57,cat
implicature,3,58,apple
implicature,2,59,cup
implicature,1,60,banana
